TRX,EQP
TRX0001,EQP0075
TRX0001,EQP0080
TRX0001,EQP0082
TRX0001,EQP0084
TRX0001,EQP0123
TRX0001,EQP0211
TRX0001,EQP0254
TRX0001,EQP0487
TRX0001,EQP0494
TRX0001,EQP0496
TRX0001,EQP0498
TRX0001,EQP0500
TRX0001,EQP0501
TRX0001,EQP0503
TRX0001,EQP0504
TRX0001,EQP0506
TRX0001,EQP0512
TRX0001,EQP0610
TRX0001,EQP0612
TRX0001,EQP1147
TRX0001,EQP1186
TRX0001,EQP1188
TRX0001,EQP1207
TRX0001,EQP1234
TRX0001,EQP1335
TRX0002,EQP0069
TRX0002,EQP0071
TRX0002,EQP0075
TRX0002,EQP0078
TRX0002,EQP0080
TRX0002,EQP0082
TRX0002,EQP0084
TRX0002,EQP0089
TRX0002,EQP0090
TRX0002,EQP0123
TRX0002,EQP0125
TRX0002,EQP0129
TRX0002,EQP0133
TRX0002,EQP0139
TRX0002,EQP0397
TRX0002,EQP0399
TRX0002,EQP0424
TRX0002,EQP0487
TRX0002,EQP0491
TRX0002,EQP0494
TRX0002,EQP0496
TRX0002,EQP0498
TRX0002,EQP0500
TRX0002,EQP0501
TRX0002,EQP0502
TRX0002,EQP0503
TRX0002,EQP0504
TRX0002,EQP0506
TRX0002,EQP0512
TRX0002,EQP0610
TRX0002,EQP0612
TRX0002,EQP0730
TRX0002,EQP0757
TRX0002,EQP0758
TRX0002,EQP1147
TRX0002,EQP1207
TRX0002,EQP1214
TRX0002,EQP1217
TRX0002,EQP1220
TRX0002,EQP1225
TRX0002,EQP1234
TRX0002,EQP1335
TRX0003,EQP0125
TRX0003,EQP0133
TRX0003,EQP0397
TRX0003,EQP0399
TRX0003,EQP0489
TRX0003,EQP0490
TRX0003,EQP0491
TRX0003,EQP0493
TRX0003,EQP0515
TRX0003,EQP0569
TRX0003,EQP0570
TRX0003,EQP0598
TRX0003,EQP0757
TRX0003,EQP0758
TRX0003,EQP1214
TRX0003,EQP1217
TRX0003,EQP1220
TRX0003,EQP1225
TRX0003,EQP1244
TRX0003,EQP1351
TRX0004,EQP0001
TRX0004,EQP0069
TRX0004,EQP0071
TRX0004,EQP0076
TRX0004,EQP0077
TRX0004,EQP0078
TRX0004,EQP0085
TRX0004,EQP0086
TRX0004,EQP0087
TRX0004,EQP0001
TRX0004,EQP0089
TRX0004,EQP0090
TRX0004,EQP0125
TRX0004,EQP0129
TRX0004,EQP0133
TRX0004,EQP0139
TRX0004,EQP0145
TRX0004,EQP1351
TRX0005,EQP0075
TRX0005,EQP0080
TRX0005,EQP0082
TRX0005,EQP0089
TRX0005,EQP0125
TRX0005,EQP0133
TRX0005,EQP0139
TRX0005,EQP0487
TRX0005,EQP0504
TRX0005,EQP0506
TRX0005,EQP0510
TRX0005,EQP0511
TRX0005,EQP0757
TRX0005,EQP1131
TRX0005,EQP1133
TRX0005,EQP1135
TRX0005,EQP1153
TRX0005,EQP1154
TRX0005,EQP1155
TRX0005,EQP1160
TRX0005,EQP1161
TRX0005,EQP1162
TRX0005,EQP1174
TRX0005,EQP1214
TRX0005,EQP1220
TRX0005,EQP1225
TRX0005,EQP1343
TRX0005,EQP1345
TRX0005,EQP1346
TRX0005,EQP1347
TRX0005,EQP1348
TRX0006,EQP0062
TRX0006,EQP0063
TRX0006,EQP0064
TRX0006,EQP0066
TRX0006,EQP0068
TRX0006,EQP0090
TRX0006,EQP0091
TRX0006,EQP0094
TRX0006,EQP0096
TRX0006,EQP0125
TRX0006,EQP0133
TRX0006,EQP0145
TRX0006,EQP0335
TRX0006,EQP0338
TRX0006,EQP0341
TRX0006,EQP0343
TRX0006,EQP0345
TRX0006,EQP0347
TRX0006,EQP0349
TRX0006,EQP0351
TRX0006,EQP0569
TRX0006,EQP0570
TRX0006,EQP0612
TRX0006,EQP0758
TRX0006,EQP0760
TRX0006,EQP0761
TRX0006,EQP0762
TRX0006,EQP1208
TRX0006,EQP1211
TRX0006,EQP1214
TRX0006,EQP1220
TRX0006,EQP1244
TRX0007,EQP0086
TRX0007,EQP0087
TRX0007,EQP0133
TRX0007,EQP0501
TRX0007,EQP1214
TRX0007,EQP1220
TRX0008,EQP0189
TRX0008,EQP0190
TRX0008,EQP0191
TRX0008,EQP0192
TRX0008,EQP0193
TRX0008,EQP0194
TRX0008,EQP0195
TRX0008,EQP0196
TRX0009,EQP1174
TRX0009,EQP1343
TRX0009,EQP1346
TRX0009,EQP1347
TRX0010,EQP0510
TRX0010,EQP1345
TRX0010,EQP1348
TRX0011,EQP0179
TRX0011,EQP0511
TRX0012,EQP0464
TRX0012,EQP0465
TRX0013,EQP0086
TRX0013,EQP0087
TRX0013,EQP0502
TRX0013,EQP0569
TRX0013,EQP0570
TRX0014,EQP0463
TRX0015,EQP1174
TRX0015,EQP1335
TRX0015,EQP1337
TRX0015,EQP1338
TRX0015,EQP1343
TRX0016,EQP1617
TRX0017,EQP1617
TRX0018,EQP0513
TRX0019,EQP0485
TRX0020,EQP1202
TRX0021,EQP1203
TRX0022,EQP1205
TRX0023,EQP0122
TRX0024,EQP0125
TRX0024,EQP1214
TRX0025,EQP0412
TRX0025,EQP0513
TRX0025,EQP1202
TRX0026,EQP0415
TRX0026,EQP0416
TRX0026,EQP1617
TRX0027,EQP1208
TRX0027,EQP1211
TRX0028,EQP0123
TRX0028,EQP1207
TRX0029,EQP1137
TRX0029,EQP1138
TRX0029,EQP1139
TRX0029,EQP1140
TRX0030,EQP1137
TRX0030,EQP1138
TRX0030,EQP1139
TRX0030,EQP1140
TRX0031,EQP0125
TRX0031,EQP0133
TRX0031,EQP1214
TRX0031,EQP1220
TRX0032,EQP0074
TRX0032,EQP0480
TRX0033,EQP0084
TRX0033,EQP0512
TRX0034,EQP1176
TRX0034,EQP1178
TRX0034,EQP1180
TRX0034,EQP1181
TRX0035,EQP0125
TRX0035,EQP0133
TRX0035,EQP1214
TRX0035,EQP1220
TRX0036,EQP0125
TRX0036,EQP0133
TRX0036,EQP1214
TRX0036,EQP1220
TRX0037,EQP0482
TRX0037,EQP0484
TRX0037,EQP0485
TRX0037,EQP0486
TRX0038,EQP0075
TRX0038,EQP0487
TRX0039,EQP1131
TRX0039,EQP1133
TRX0039,EQP1135
TRX0039,EQP1136
TRX0040,EQP0125
TRX0040,EQP0133
TRX0040,EQP1214
TRX0040,EQP1220
TRX0041,EQP0125
TRX0041,EQP0133
TRX0041,EQP1214
TRX0041,EQP1220
TRX0042,EQP0075
TRX0042,EQP0080
TRX0042,EQP0084
TRX0042,EQP0123
TRX0042,EQP0487
TRX0042,EQP0504
TRX0042,EQP0512
TRX0042,EQP1207
TRX0043,EQP1214
TRX0044,EQP0569
TRX0044,EQP1214
TRX0045,EQP0489
TRX0045,EQP0569
TRX0045,EQP1214
TRX0046,EQP0397
TRX0046,EQP0569
TRX0047,EQP1214
TRX0048,EQP1214
TRX0049,EQP0569
TRX0049,EQP1214
TRX0050,EQP1214
TRX0051,EQP0569
TRX0051,EQP1214
TRX0051,EQP1351
TRX0052,EQP1214
TRX0053,EQP1220
TRX0054,EQP0570
TRX0054,EQP1220
TRX0055,EQP0490
TRX0055,EQP0570
TRX0055,EQP1220
TRX0056,EQP0399
TRX0056,EQP0570
TRX0057,EQP1220
TRX0058,EQP1220
TRX0059,EQP0570
TRX0059,EQP1220
TRX0060,EQP1220
TRX0061,EQP0570
TRX0061,EQP1220
TRX0061,EQP1351
TRX0062,EQP1220
TRX0063,EQP0491
TRX0063,EQP0757
TRX0063,EQP0758
TRX0063,EQP1214
TRX0063,EQP1217
TRX0063,EQP1220
TRX0063,EQP1225
TRX0064,EQP1214
TRX0064,EQP1220
TRX0064,EQP1225
TRX0064,EQP1351
TRX0065,EQP0070
TRX0065,EQP0072
TRX0065,EQP0125
TRX0065,EQP0133
TRX0065,EQP0398
TRX0065,EQP0400
TRX0065,EQP1214
TRX0065,EQP1220
TRX0066,EQP0569
TRX0066,EQP0570
TRX0066,EQP1214
TRX0066,EQP1220
TRX0067,EQP0125
TRX0068,EQP0086
TRX0068,EQP0125
TRX0069,EQP0076
TRX0069,EQP0086
TRX0069,EQP0125
TRX0070,EQP0069
TRX0070,EQP0086
TRX0071,EQP0125
TRX0072,EQP0125
TRX0073,EQP0125
TRX0074,EQP0086
TRX0074,EQP0125
TRX0075,EQP0086
TRX0075,EQP0125
TRX0076,EQP0086
TRX0076,EQP0125
TRX0076,EQP1351
TRX0077,EQP0125
TRX0078,EQP0125
TRX0079,EQP0133
TRX0080,EQP0087
TRX0080,EQP0133
TRX0081,EQP0077
TRX0081,EQP0087
TRX0081,EQP0133
TRX0082,EQP0071
TRX0082,EQP0087
TRX0083,EQP0133
TRX0084,EQP0133
TRX0085,EQP0133
TRX0086,EQP0087
TRX0086,EQP0133
TRX0087,EQP0087
TRX0087,EQP0133
TRX0088,EQP0087
TRX0088,EQP0133
TRX0088,EQP1351
TRX0089,EQP0133
TRX0090,EQP0133
TRX0091,EQP0125
TRX0091,EQP0133
TRX0092,EQP0078
TRX0092,EQP0089
TRX0092,EQP0090
TRX0092,EQP0125
TRX0092,EQP0129
TRX0092,EQP0133
TRX0092,EQP0139
TRX0093,EQP0125
TRX0093,EQP0133
TRX0093,EQP0139
TRX0093,EQP1351
TRX0094,EQP0757
TRX0094,EQP1214
TRX0094,EQP1220
TRX0094,EQP1225
TRX0095,EQP0089
TRX0095,EQP0125
TRX0095,EQP0133
TRX0095,EQP0139
TRX0096,EQP0089
TRX0096,EQP0125
TRX0096,EQP0133
TRX0096,EQP0139
TRX0096,EQP0757
TRX0096,EQP1214
TRX0096,EQP1220
TRX0096,EQP1225
TRX0097,EQP0125
TRX0097,EQP0133
TRX0097,EQP1214
TRX0097,EQP1220
TRX0098,EQP0086
TRX0098,EQP0087
TRX0098,EQP0125
TRX0098,EQP0133
TRX0099,EQP0125
TRX0099,EQP0133
TRX0099,EQP1214
TRX0099,EQP1220
TRX0100,EQP0612
TRX0100,EQP1214
TRX0100,EQP1220
TRX0100,EQP1335
TRX0101,EQP0125
TRX0101,EQP0133
TRX0102,EQP0139
TRX0102,EQP0515
TRX0102,EQP1214
TRX0102,EQP1220
TRX0102,EQP1225
TRX0102,EQP1226
TRX0103,EQP1225
TRX0104,EQP1225
TRX0105,EQP0139
TRX0105,EQP0491
TRX0105,EQP0598
TRX0105,EQP1226
TRX0106,EQP0078
TRX0106,EQP0491
TRX0106,EQP0494
TRX0106,EQP0496
TRX0107,EQP0493
TRX0107,EQP0515
TRX0107,EQP0757
TRX0108,EQP0515
TRX0108,EQP0758
TRX0108,EQP1244
TRX0109,EQP0139
TRX0110,EQP0139
TRX0111,EQP0001
TRX0111,EQP0078
TRX0111,EQP0001
TRX0111,EQP0114
TRX0111,EQP0115
TRX0112,EQP0085
TRX0112,EQP0089
TRX0112,EQP0493
TRX0113,EQP0085
TRX0113,EQP0090
TRX0113,EQP0145
TRX0114,EQP0089
TRX0114,EQP0133
TRX0114,EQP0424
TRX0114,EQP0502
TRX0114,EQP0757
TRX0114,EQP1220
TRX0115,EQP0424
TRX0115,EQP0502
TRX0115,EQP0730
TRX0115,EQP1185
TRX0116,EQP0424
TRX0116,EQP0502
TRX0117,EQP0424
TRX0117,EQP0502
TRX0118,EQP0424
TRX0118,EQP0502
TRX0119,EQP0424
TRX0119,EQP1185
TRX0120,EQP0500
TRX0120,EQP0610
TRX0120,EQP0612
TRX0120,EQP1335
TRX0121,EQP0610
TRX0121,EQP0612
TRX0121,EQP1335
TRX0122,EQP0180
TRX0122,EQP0500
TRX0122,EQP1335
TRX0123,EQP0501
TRX0123,EQP1147
TRX0123,EQP1337
TRX0124,EQP0180
TRX0124,EQP0426
TRX0124,EQP0495
TRX0124,EQP0497
TRX0124,EQP1335
TRX0124,EQP1336
TRX0125,EQP0507
TRX0126,EQP0499
TRX0126,EQP0503
TRX0126,EQP1150
TRX0126,EQP1151
TRX0126,EQP1152
TRX0127,EQP0494
TRX0128,EQP0496
TRX0129,EQP0498
TRX0129,EQP0514
TRX0129,EQP1234
TRX0130,EQP1214
TRX0130,EQP1220
TRX0130,EQP1351
TRX0131,EQP0125
TRX0131,EQP0133
TRX0131,EQP1351
TRX0132,EQP0125
TRX0132,EQP0133
TRX0132,EQP1214
TRX0132,EQP1220
TRX0133,EQP0125
TRX0133,EQP0133
TRX0133,EQP1214
TRX0133,EQP1220
TRX0134,EQP1214
TRX0135,EQP1220
TRX0136,EQP0569
TRX0137,EQP0570
TRX0138,EQP0125
TRX0139,EQP0612
TRX0140,EQP0133
TRX0141,EQP0125
TRX0142,EQP0133
TRX0143,EQP0086
TRX0144,EQP0087
TRX0145,EQP1214
TRX0146,EQP0501
TRX0147,EQP1220
TRX0148,EQP0080
TRX0148,EQP0504
TRX0149,EQP1153
TRX0149,EQP1154
TRX0149,EQP1155
TRX0150,EQP0139
TRX0150,EQP1225
TRX0151,EQP1156
TRX0151,EQP1157
TRX0152,EQP0082
TRX0152,EQP0506
TRX0153,EQP1160
TRX0153,EQP1161
TRX0153,EQP1162
TRX0154,EQP0089
TRX0154,EQP0757
TRX0155,EQP0612
TRX0155,EQP1214
TRX0155,EQP1220
TRX0155,EQP1335
TRX0156,EQP0125
TRX0156,EQP0133
TRX0157,EQP0335
TRX0158,EQP0338
TRX0159,EQP0758
TRX0159,EQP0760
TRX0159,EQP0761
TRX0159,EQP0762
TRX0160,EQP0062
TRX0161,EQP0063
TRX0162,EQP0090
TRX0162,EQP0091
TRX0162,EQP0094
TRX0162,EQP0096
TRX0163,EQP0002
TRX0163,EQP0092
TRX0163,EQP0096
TRX0164,EQP0091
TRX0164,EQP0148
TRX0164,EQP1459
TRX0164,EQP1461
TRX0165,EQP0094
TRX0165,EQP0149
TRX0165,EQP1460
TRX0165,EQP1462
TRX0166,EQP1640
TRX0166,EQP1642
TRX0167,EQP1643
TRX0168,EQP1645
TRX0169,EQP1252
TRX0169,EQP1640
TRX0169,EQP1641
TRX0170,EQP0509
TRX0170,EQP1169
TRX0170,EQP1233
TRX0171,EQP1640
TRX0171,EQP1641
TRX0171,EQP1642
TRX0171,EQP1643
TRX0171,EQP1645
TRX0172,EQP1640
TRX0172,EQP1641
TRX0172,EQP1642
TRX0172,EQP1643
TRX0172,EQP1645
TRX0173,EQP1169
TRX0173,EQP1252
TRX0173,EQP1640
TRX0173,EQP1641
TRX0173,EQP1642
TRX0173,EQP1643
TRX0173,EQP1645
TRX0174,EQP0166
TRX0174,EQP0168
TRX0175,EQP0169
TRX0176,EQP0170
TRX0177,EQP0153
TRX0177,EQP0166
TRX0177,EQP0167
TRX0178,EQP0166
TRX0178,EQP0167
TRX0178,EQP0168
TRX0178,EQP0169
TRX0178,EQP0170
TRX0179,EQP0166
TRX0179,EQP0167
TRX0179,EQP0168
TRX0179,EQP0169
TRX0179,EQP0170
TRX0180,EQP0153
TRX0180,EQP0166
TRX0180,EQP0167
TRX0180,EQP0168
TRX0180,EQP0169
TRX0180,EQP0170
TRX0181,EQP1351
TRX0181,EQP1691
TRX0182,EQP1351
TRX0182,EQP1692
TRX0183,EQP1691
TRX0183,EQP1692
